gene,log2FC,FDR,mean_tumor_tpm,mut_freq_pct,km_logrank_p,apc_spearman_r,apc_spearman_p,prognostic,apc_positive
TFAP2A,3.576071007995411,5.171334099679645e-18,15.859043533697633,3.5502958579881656,0.845239420198293,-0.06869305966303194,0.10788756224296432,False,False
CCNE1,3.5557102044783666,8.787680422577698e-19,49.36501948998178,4.142011834319527,9.607278185891718e-05,0.04698503522722741,0.2717713969097796,True,True
AQP5,3.534480820616584,1.5336005023936615e-12,252.27553278688526,1.5779092702169626,0.05439731064311091,-0.037185375352181624,0.3845211695998571,False,False
CST2,3.477422980886516,9.874451623327439e-06,16.48643041894353,2.1696252465483234,0.71172006447931,0.10328000557532997,0.015482595470183633,False,True
EEF1A2,3.4468349146105814,0.00027948332721836457,25.265051730418943,2.7613412228796843,0.019107361298883394,0.012713510273973501,0.7662984619552282,True,True
CA9,3.4420836853106715,1.1975865748921885e-09,41.63851092896175,3.353057199211045,0.2379136027760055,-0.08156073115986961,0.056151739780662235,False,False
CEACAM6,3.428649301820265,2.9039629144125173e-06,27.571757741347906,1.7751479289940828,0.6201131218943541,0.17018467364463524,6.130306154188566e-05,False,True
COL26A1,3.427264214887262,1.1953733528668939e-08,39.433873224043715,2.366863905325444,0.05871268612686089,-0.04500186823968781,0.29254385894459695,False,False
TPX2,3.419157134048823,8.0048884499490205e-19,83.13925519125681,4.142011834319527,0.006249287626230427,-0.04779052944183972,0.2636291562492745,True,False
ODAM,3.4175976486190383,0.011125998847655798,16.62075755919854,1.7751479289940828,0.5394475636509837,0.14458496351927957,0.0006790952331612062,False,True
NTS,3.4035698693469287,0.0008807817351486037,92.08174663023678,2.1696252465483234,0.3315322185571502,0.10187002470162698,0.016955792044910874,False,True
UPK1B,3.4002391731801875,1.3008894846812382e-06,78.55843333333333,1.5779092702169626,0.04030567244082636,0.143876214553659,0.0007220925275642222,True,True
ANPEP,3.388999160745302,2.2352489123942458e-08,68.98751038251366,7.6923076923076925,0.5755983565564378,0.176110101856183,3.3325897102399105e-05,False,True
HOXB13,3.385697269855976,1.862131946527717e-13,10.450057923497267,2.7613412228796843,0.60884720825449,-0.061743387256930536,0.14852105919770686,False,False
GFRA3,3.374132945368353,8.123964737695593e-05,35.75328069216758,2.366863905325444,0.26802408468176253,-0.07558445990249438,0.07681116378744858,False,False
MAL,3.3715660746325993,1.1884159620083236e-05,134.59026138433515,1.183431952662722,4.66211012578152e-05,0.04053622258241141,0.3431198210223833,True,True
POU3F3,3.342637564234565,3.264401589310955e-05,9.625638433515483,1.5779092702169626,0.0011188722296611164,-0.07670181233451233,0.07253734491296254,True,False
ASF1B,3.337080936852058,3.536536922589399e-19,85.18975500910746,2.366863905325444,0.4085509889860909,-0.06923421120381754,0.10513417006023673,False,False
AURKB,3.2961019384340973,5.872759000380234e-19,50.56306976320583,2.1696252465483234,0.19929053114377016,-0.05902589373452124,0.16725652081724918,False,False
ZIC1,3.285681291793605,8.00126385112417e-11,9.294926958105648,3.9447731755424074,0.3239030629511054,-0.08197079785336472,0.05492225349368149,False,False
AMBN,3.269747989132025,0.00011920513235913683,8.723451548269582,3.7475345167652856,0.18012441463481707,-0.07397877691723269,0.08330900478946171,False,False
H3C2,3.2654616772497556,2.563076961295155e-16,10.353833697632057,1.3806706114398422,0.16468296461512172,0.039804549480097325,0.3519085981772514,False,True
FOXM1,3.261191433168904,1.2351540788972273e-18,32.842271948998174,4.733727810650888,0.053376996235112016,0.023845007451564832,0.5771775098569689,False,True
UPK2,3.2582900588581225,2.4435065395633027e-12,13.836642076502734,2.366863905325444,0.39341466894182064,-0.13798452271519002,0.00119015678533787,False,False
MMP12,3.246635371606429,1.183912187955249e-13,20.076136247723134,4.142011834319527,0.45965724279915543,0.34692817851846214,5.681062323124575e-17,False,True
KRT6B,3.246447700957959,4.9944155305035656e-09,9.462714025500912,3.5502958579881656,0.9930833211671566,-0.12167401578973719,0.004303278481644242,False,False
GRIN2D,3.243512829790774,1.2271164485616327e-16,13.422291256830603,5.325443786982249,0.04358378977104629,0.042404952524012766,0.32131397009268314,True,True
KIFC1,3.2215393603430473,6.098198949341027e-19,66.56910145719489,3.9447731755424074,0.27479653988896646,-0.06727562812521531,0.11536965708221666,False,False
MELK,3.1860572618072434,6.269847042313546e-19,26.343212386156644,4.536489151873767,0.2363000477028773,0.05240876102446369,0.2201910253976508,False,True
TK1,3.17958014159968,2.9566472080955725e-19,168.3663025500911,1.5779092702169626,0.086534236995821,-0.043003035016915596,0.3145300425356297,False,False
CHGA,3.1770534888906985,0.0027208003635502153,182.84243023679417,3.155818540433925,0.6094867714952412,0.16428430128507254,0.00011025746387663254,False,True
PIGR,3.1501028735056673,9.417960807446972e-05,904.7385287795993,6.31163708086785,0.002748067812394088,0.12793753014167042,0.002671657292278017,True,True
PTTG1,3.147534897489231,6.000603491971158e-19,78.27589581056465,1.5779092702169626,0.0022994307358714557,-0.11411438786573405,0.007440906284140326,True,False
CXCL5,3.1451258829690776,6.946813867309143e-07,20.6556087431694,1.5779092702169626,0.07121437783484869,0.20581976929866855,1.1521880849034472e-06,False,True
CDCA8,3.1274902919283267,5.066496883470032e-19,45.1217524590164,1.183431952662722,0.05764298357919684,-0.016270446477458567,0.7036596398899593,False,False
B3GNT3,3.125718803596956,1.0005580026173964e-10,35.29517103825137,1.9723865877712032,0.01712718039011715,0.04876982186535371,0.25395822464472845,True,True
PLK1,3.125010554442058,2.88188081188266e-19,29.177324043715846,4.142011834319527,0.02428267120478668,0.0017689398471975955,0.9670143630668462,True,True
MUC5B,3.118196815672801,0.004985780491452793,67.51862440801456,20.118343195266277,0.025699424365576675,0.08769692350747871,0.039967946319710214,True,True
PDIA2,3.1060963621495814,3.478255413791475e-11,13.802254644808743,1.183431952662722,0.42464239122083025,0.057956386733610865,0.175097135535887,False,True
TOP2A,3.0979745815172737,9.140085475508862e-18,70.11298488160291,6.903353057199212,0.20029438803320687,-0.02398200021031181,0.5749910728883542,False,False
CCNB2,3.0941468183726424,4.867668675699025e-19,47.526475045537346,2.1696252465483234,0.33330048794845124,-0.03226995333253561,0.4504996190751805,False,False
TROAP,3.0868464537446036,6.307761257691625e-19,27.656626775956283,3.155818540433925,0.01089835533025754,-0.18055286949704422,2.0823557500322844e-05,True,False
AKR1C2,3.0851972985416696,0.0018128294010130532,22.753440801457195,3.155818540433925,0.5136813294054081,0.07402135714510397,0.08313113482658495,False,True
NEK2,3.083569073974568,1.0907261825085511e-18,27.168158469945354,5.325443786982249,0.3502384932663195,0.02863627298472339,0.5031272647640093,False,True
