sample_id,subtype,TMB,immune_score,CD274,PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,IDO1,VTCN1,CD276,PDCD1LG2,CD8 T_score,Treg_score,Cytotoxic_score,NK_score,B cell_score,Macrophage_score,DC_score,Neutrophil_score
TCGA-DF-A2KZ-01A,IS1,15.052631578947368,3.0459205015438235,2.6061,3.2145,1.0376,8.1224,5.5305,2.0701,101.6982,13.2303,135.6198,1.4022,1.5663283665957752,1.6829078874663592,2.6810993455006265,1.2936235327888084,1.6386163553869038,1.4028673187823533,1.1351721987440397,5.749263509991522
TCGA-D1-A17T-01A,IS1,1.5263157894736843,3.0118617292061933,1.7049,3.9845,8.7275,6.594,6.8093,0.9683,48.2617,50.6189,93.1975,0.6568,2.5086678394542927,1.9241486041123206,3.4340530862209206,1.6221981314192053,1.0276222532366237,1.0399765548811413,1.7949205758307978,2.856751605868492
TCGA-D1-A2G6-01A,IS1,1.5526315789473684,2.7417464500811937,1.3306,1.3987,0.4984,4.4933,6.9315,1.2914,44.3371,449.5435,153.8424,1.4801,1.5545776496416577,1.8479851745684852,1.8513964975416581,0.9316125086908461,1.0693882841743385,1.5305124532429735,1.7252780517118724,3.827921153174699
TCGA-D1-A3DG-01A,IS2,2.210526315789474,2.258443031011498,0.4954,1.9409,0.4135,4.3429,4.9033,0.1598,39.9277,1.6954,164.8715,0.6185,2.1705019775994083,1.1894863970359324,1.1992829901903632,0.7507360616242236,0.40661357260765424,1.798469339208385,1.2698371694429178,2.215988712731981
TCGA-D1-A16O-01A,IS2,0.7105263157894737,1.8576121673094508,0.4389,0.5911,0.158,2.3966,2.0346,0.148,1.7444,31.8262,62.6069,0.139,1.2833251560599757,1.1675417718756567,1.3862979565881293,0.783223800351648,0.5574911104779273,0.6192922185497512,0.9323418720666841,1.402104228168766
TCGA-EY-A72D-01A,IS2,1.0789473684210527,1.9878535187997262,0.522,0.4211,0.3537,0.8461,3.9271,0.1657,4.1588,841.897,153.9446,1.0892,0.5169184086252196,1.4151267723154,1.4333626538492925,0.673081215939072,0.49538012184885494,1.20691132028336,1.3313037992641727,2.248597477978371
TCGA-FI-A2D4-01A,IS2,7.921052631578948,1.8069757417391996,0.1308,0.3843,0.6277,1.7142,2.2582,0.5072,1.5404,31.0179,88.7477,0.4418,1.4298089296859149,1.277095903173439,1.794744730711405,0.9151168817581179,0.6031987900274529,0.950839981182504,0.8184498224096257,1.673300838698238
TCGA-BG-A0MQ-01A,IS2,15.289473684210526,2.201075636302946,0.7291,0.084,0.247,2.0755,3.8946,0.2314,22.2762,120.5442,71.0284,0.2173,0.5189241819354636,1.103500309216343,1.5636525962159213,1.1088997062125405,0.7931575016105485,0.7965787342831416,1.6005030283747341,1.3631628535834155
TCGA-D1-A16Y-01A,IS2,25.68421052631579,1.9280522612686317,0.2201,1.4167,0.0,7.5234,0.9651,0.2757,4.5919,1.4935,105.1321,0.4249,1.2565329874327105,1.2238696031720693,1.9664688591313597,1.0975293600286404,0.4668490185646495,0.39391352709701044,0.9078575342302835,0.7619413742522397
TCGA-BG-A0M9-01A,IS2,1.394736842105263,2.0698604718501126,0.3482,0.2558,0.4178,0.4096,2.3382,0.2055,33.3226,144.8472,52.3526,0.2206,0.790834690592773,1.2173198309533446,0.9963450267219051,0.8998305533971452,0.8876109701597868,1.1205807328018151,1.1939868385674166,2.6644658433293933
TCGA-D1-A175-01A,IS2,,2.2552869612680753,0.826,1.4239,1.649,3.7751,2.3241,1.4261,18.7558,7.3536,189.7256,0.9487,1.6153232054916855,1.5743343258446838,2.77022497555802,1.2585670450457478,1.3279976334104178,1.1935423788452733,0.6490647502382318,0.6964112659780195
TCGA-BG-A0M6-01A,IS2,1.0263157894736843,1.8631354507767242,0.6618,0.5042,0.494,2.8171,1.2226,0.3224,1.0392,969.5701,167.3439,0.621,0.6628710208918835,1.4074000589772695,0.6312488878960563,0.5562321480316347,0.11758794839015063,0.7709521115413689,0.7042859249542035,0.3749823670188126
TCGA-BS-A0WQ-01A,IS2,1.131578947368421,2.2686443110827232,0.7763,2.0276,3.0906,5.0241,3.4564,0.2909,9.3794,19.2746,69.157,0.2914,3.4369626203904193,1.5285772032543192,2.5659117486857483,0.9851797925316863,0.3396748242501353,1.0189722415657287,0.8281517495719071,2.0087063116414363
TCGA-FI-A2EW-01A,IS2,2.1052631578947367,2.2784850726535004,0.5261,0.5725,0.0561,1.9644,1.6821,0.3548,188.5946,109.2732,23.6094,0.8392,0.6969310629325269,1.364314829526192,2.0353865058777716,1.416745746618694,1.5692633756804313,0.585480565866957,1.4657091185607705,3.0861519868619705
TCGA-D1-A17R-01A,IS2,5.842105263157895,2.375985710284281,0.9521,1.3055,1.3402,1.1518,3.1252,0.1926,16.0343,158.4479,252.8872,0.7505,1.386800815377911,1.322924275084043,1.869899192530569,1.0831463789777682,0.4436651789981199,1.0398804570391913,1.646919318426625,2.4636250051140736
TCGA-QS-A8F1-01A,IS2,1.394736842105263,1.9464526318859472,0.0843,0.7705,0.0539,5.8159,2.084,0.0379,6.2206,33.514,43.6004,1.1864,0.4821545458796365,0.5052155995476728,1.7978498268824634,1.0665311644887316,0.7121307231163131,1.133736700549913,0.6046488500788147,1.7424918721550764
TCGA-QS-A744-01A,IS2,1.4210526315789473,2.028668084180087,1.5141,0.1386,0.0815,3.2907,1.3573,0.1432,1.4332,242.1763,147.6664,3.7765,0.45450890675712774,1.5399698040507437,1.6234915707450022,0.46556944885761076,0.2609606092085828,1.4067394668965487,0.7387302661702309,1.9875978272172157
TCGA-QF-A5YT-01A,IS2,0.10526315789473684,2.3841651548028784,0.4143,4.9039,0.7291,2.9009,2.5171,0.4075,43.6947,42.2896,148.6191,0.6415,3.249061139364616,0.9939281665342078,2.8855715575720926,0.9832449477859878,0.45942916845578424,1.298457685761645,0.948806167848959,1.6671312068934967
TCGA-B5-A11P-01B,IS2,1.0,2.102851766997615,0.9366,0.688,0.1124,0.5115,1.7593,0.0395,48.8453,151.4551,80.0979,0.3461,1.5705906097429447,1.061497257877804,1.3475340381436753,0.7782137449407616,0.29034395050658546,1.1026474963033062,0.6441712975799953,3.0201209727557092
TCGA-B5-A11Q-01A,IS2,1.0,1.3144489575412117,0.0492,0.4816,0.236,2.7101,0.6603,0.0663,2.7509,5.5722,38.6353,0.1246,0.469435986753267,1.0150650603105558,0.6705250033441592,0.4665286265193776,0.25308059591159615,0.1843284480065406,0.48425887202372053,0.8319736134185277
TCGA-D1-A17S-01A,IS2,1.105263157894737,1.8036172768358198,0.5391,0.4591,0.3599,0.7876,1.9184,0.1265,3.202,65.714,24.2546,0.1584,0.6235274662062152,0.7890033795088961,0.838950505812092,0.534238916942672,0.8488932310092121,0.4927231599207658,1.096138046750418,1.4890786321078704
