antigen,spearman_r,pvalue,n,FDR
MFAP2,-0.08451336386480578,0.04778897730855836,549,0.1263921141939021
TSPAN1,0.04454621601923266,0.2974629211438868,549,0.46187290537616177
EYA2,-0.09676119819712019,0.023369319969002007,549,0.07189140800990354
H2BC18,0.014220814438356728,0.7395406644168837,549,0.837716120836567
SERPINB3,0.11392473882079816,0.007540919399179543,549,0.03008646681788698
MARVELD3,-0.07376839002267,0.08419236899379039,549,0.1922282799877753
RAET1L,0.13820051151453486,0.0011689445887373504,549,0.006605709625871967
UCP2,-0.03327785452949986,0.43647268781804854,549,0.605981677030046
TDRKH,0.0028595517044158864,0.9467020244830913,549,0.9743676377333963
SGK2,0.0684358265593289,0.109216181282476,549,0.23004273138597198
CYP26A1,-0.09638669753259947,0.023912900732651753,549,0.07298741764091357
PDIA4,0.054917706440980346,0.1988622312947366,549,0.34748871208303
MYCL,-0.011932983271744309,0.7802667793525055,549,0.8686970143457895
SIX4,-0.08835728509863419,0.03848907811466064,549,0.10687347343477027
PABPC1L,-0.022975549439591562,0.5911444981359059,549,0.7351573599158233
PPFIA4,-0.2453251489642258,5.73569951287645e-09,549,1.2416727278801056e-07
SGO2,0.05999702662619978,0.16036769110683388,549,0.2980442462700935
ABCA7,0.11102338449711911,0.009228132834715564,549,0.03513904652697881
HOXB7,-0.11103585816281762,0.009220212341539205,549,0.03513904652697881
MUC2,-0.12346639995572765,0.0037625800070292823,549,0.01691713857006627
CYP2B6,0.10093495033989346,0.01799916972978566,549,0.057646655929094355
CASP6,0.05270384834343193,0.21760075676904345,549,0.3740191951292204
TPD52,-0.02100151970225505,0.6234166056475859,549,0.7615193437847732
APOA1,-0.07152713300289576,0.09407963351111524,549,0.20789998407276697
RGL3,-0.1963366982558026,3.5690622365285736e-06,549,4.486272854303121e-05
FLAD1,-0.17117654950848682,5.543476556394794e-05,549,0.0005062753198769933
AMN,0.08103894031858613,0.05774916287564568,549,0.14612288182170952
FSD1,0.135588323306204,0.0014504833650409409,549,0.007959756987666287
LIPH,0.09522441806122799,0.02567012813824712,549,0.07714236450799712
ERO1A,0.08584398490106282,0.04437650684837726,549,0.11898196446273628
TLE6,-0.12644167388042238,0.002999491425714183,549,0.01415717740477623
SOX17,-0.149661289211367,0.0004339624365770373,549,0.002949430746270678
NKX6-1,-0.000780204653845476,0.985448098059267,549,0.9943985769878456
PLPP2,-0.047784872779488084,0.2636857444135363,549,0.4245848969964517
BNIPL,-0.16680504035457558,8.601045423564438e-05,549,0.0007031204265836943
SAC3D1,-0.15986235454944325,0.00016898253204373592,549,0.001308215761318724
HAVCR1,0.2113649599791436,5.801098332936035e-07,549,9.97277051647386e-06
SMARCA4,-0.09006218702521206,0.03488389136073926,549,0.09826329879687756
TKT,0.023438235411431536,0.5836926000675132,549,0.7297718176245165
KLK13,0.10660808598272063,0.012442482381625408,549,0.04434531068329299
TRPM4,-0.05027735775851129,0.23955691401661428,549,0.39835282003616235
ATP2C2,-0.08421954529535296,0.0485714317711661,549,0.12730942542711474
ST8SIA2,-0.014629883379646082,0.7323312303984951,549,0.8335883235986765
GPR83,0.028581416363239357,0.5039458483942685,549,0.666417077797398
SHMT2,-0.14905065976263776,0.00045832447190568936,549,0.00304421197532813
KRT6C,0.0050678356687542305,0.9056926493344892,549,0.947007788078728
ABCC3,0.17087123788207384,5.718203680166302e-05,549,0.0005181845040398766
TGM5,0.058239631615931604,0.17299450838573482,549,0.3127139673973262
CD1A,0.2715820528472074,9.743576370624299e-11,549,2.93824467549805e-09
GGT6,-0.17003317850033178,6.224940790583745e-05,549,0.0005512845291054847
DSG2,0.04345027394925685,0.3095189230934315,549,0.47608897512660714
FZD8,0.0038744511043182824,0.9278305217810883,549,0.9623003027678341
GPRC5D,0.03162118835773958,0.4596615176887852,549,0.6262754244501049
PCCB,-0.04081020809990537,0.33986504676765295,549,0.5087096538686124
ERBB3,-0.06821050036079354,0.11039057084422366,549,0.23140386887454364
PLEKHN1,0.07944071852088143,0.06287795434880013,549,0.15639218858244117
PDCD1,0.4876174652729419,3.9135998583209e-34,549,4.5749982343771323e-32
ERBB2,-0.0639922257153321,0.13426231215305326,549,0.26423003856383714
LMTK3,-0.09013485664838616,0.034736839210622344,549,0.0980854227952114
FBXO16,-0.12962013806680447,0.0023421559453569185,549,0.011906373705172639
SLC39A11,0.11621960903760595,0.0064078010124370074,549,0.026752569226924504
DPP10,-0.015248539080407596,0.7214728339692288,549,0.8283905202100014
DGAT2,-0.021070016846883078,0.6222841325681407,549,0.761147313058999
PPP1R1B,-0.10965817079494239,0.010132479457883425,549,0.0379643220713645
CTNND2,-0.025815603897780807,0.5461090385914256,549,0.7027828709717395
CXCL3,0.15513332074000702,0.0002635528595557965,549,0.001890142900740651
PPP1CA,-0.07813823287318561,0.06733038566185397,549,0.16162057667085683
SLC5A6,0.032941755105350905,0.4411220601453072,549,0.6095410027303357
CTLA4,0.5478972915970306,2.477697874652596e-44,549,1.4482144077344424e-41
MDFI,0.09996069344878727,0.01914550349273546,549,0.06098390622072958
RBM47,0.036400622232858684,0.3946404878557965,549,0.5617876862584122
CALR,-0.020317933432687535,0.6347667560070529,549,0.77135378146803
MYO5B,0.0863953660041005,0.04302379235437524,549,0.11620647384576928
INCENP,-0.012926271207951237,0.7625037822484707,549,0.8554385042691576
C12orf56,-0.015057097280157678,0.724827085025851,549,0.829785785313044
STAC2,-0.08925599085201302,0.036551159245167095,549,0.10246595961055235
HID1,-0.1192885659273119,0.005131687557252546,549,0.02197414928361988
TMEM184A,-0.08228775731468085,0.05398733721761737,549,0.1390114475933804
CHRNA1,0.035444432134211,0.40718524186470567,549,0.5741852204340663
KIFC2,-0.1788672171034263,2.4924434604606583e-05,549,0.00024484591640995876
TALDO1,-0.03670673469165752,0.3906742320996689,549,0.558916041870843
MYO6,0.039623686910990975,0.35410282281189015,549,0.5246466411496826
B4GALNT3,-0.02056486850073066,0.6306566167046608,549,0.7679558176330713
SLC26A6,-0.062420037319830556,0.14411445458512845,549,0.2757396089522482
GNA15,0.30305655574531964,3.9875379220092337e-13,549,1.3710093620084688e-11
HORMAD1,0.1014090834103647,0.017463313780550882,549,0.05670726058184439
CREB3L4,-0.13601582415032218,0.00140050688960363,549,0.007759206416808738
SLC37A1,0.13366896196619785,0.001695703668633545,549,0.009051495838505086
DISP3,-0.050098167729775156,0.2412379761845491,549,0.4003327622691989
CEL,-0.139163795532756,0.001078516430587791,549,0.006210767031315899
SLC6A20,0.09163017363887198,0.031826125644934,549,0.09030276912361127
GAS2L3,0.08066070833961404,0.05893049234925124,549,0.14846927921610928
STMN1,-0.06499229461057869,0.128270977770081,549,0.25544935777380695
ATP13A2,-0.0038991808717786943,0.9273711467699736,549,0.9623003027678341
SREBF1,0.02547332847440542,0.5514455347185109,549,0.7060677218904045
MLPH,-0.025596542183834274,0.5495215394199706,549,0.7051489347771083
TMEM79,-0.09639449767730553,0.023901468400932175,549,0.07298741764091357
TMPRSS11E,0.09481577877222147,0.026313869084930212,549,0.07847171673541688
BIK,0.04661974537767287,0.27551989927583126,549,0.4382673486564686
ARRDC1,-0.0873906469263655,0.04067000073576883,549,0.1113424610307114
EPHA1,0.02736120327361204,0.5223338103159314,549,0.6835825531176177
RPL22L1,-0.027665067571732645,0.5177227973767234,549,0.6800201686892019
RUNX1,0.2151462210957245,3.594546723524976e-07,549,6.46465403046261e-06
MYH14,0.006674281404447732,0.8760103890314614,549,0.9300956707337835
H3C3,0.05823854707604847,0.17300252324829377,549,0.3127139673973262
LTK,0.13002749972197214,0.0022681763796629562,549,0.011629378016780684
