uniqueSampleKey,uniquePatientKey,entrezGeneId,molecularProfileId,sampleId,patientId,studyId,value
QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDMyOnVjZWNfY3B0YWNfMjAyMA,4283,ucec_cptac_2020_mrna,C3L-00032,C3L-00032,ucec_cptac_2020,7.1
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,50943,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,3.97
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,3002,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,4.83
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,84868,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,8.91
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,3458,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,2.78
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,3394,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,7.66
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,3902,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,4.73
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,4118,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,3.29
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,94025,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,13.39
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,5133,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,4.14
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,55509,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,2.97
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,6772,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,12.62
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,7040,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,7.08
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,201633,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,6.14
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,79679,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,13.65
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,2829,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,0.99
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,898,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,8.67
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,925,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,6.61
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,968,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,10.77
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,29126,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,6.1
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,80381,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,11.26
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,9074,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,3.67
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,283420,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,0.99
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,1493,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,5.22
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,1515,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,13.41
QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMDkwOnVjZWNfY3B0YWNfMjAyMA,4283,ucec_cptac_2020_mrna,C3L-00090,C3L-00090,ucec_cptac_2020,7.35
QzNMLTAwMTM5OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMTM5OnVjZWNfY3B0YWNfMjAyMA,50943,ucec_cptac_2020_mrna,C3L-00139,C3L-00139,ucec_cptac_2020,4.62
QzNMLTAwMTM5OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMTM5OnVjZWNfY3B0YWNfMjAyMA,3002,ucec_cptac_2020_mrna,C3L-00139,C3L-00139,ucec_cptac_2020,4.62
QzNMLTAwMTM5OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMTM5OnVjZWNfY3B0YWNfMjAyMA,84868,ucec_cptac_2020_mrna,C3L-00139,C3L-00139,ucec_cptac_2020,7.56
QzNMLTAwMTM5OnVjZWNfY3B0YWNfMjAyMA,QzNMLTAwMTM5OnVjZWNfY3B0YWNfMjAyMA,3458,ucec_cptac_2020_mrna,C3L-00139,C3L-00139,ucec_cptac_2020,2.26
