gene,log2FC,mean_tumor_tpm,mean_normal_tpm,pvalue,FDR
GSPT1,0.19596855564087168,50.4780693989071,43.93966571428571,0.35618191275294575,0.4054011173920731
UCP3,-0.018415805354297765,1.625152641165756,1.6588771428571427,0.35726011951687286,0.4065442163875242
GPN2,0.09724660397149343,21.9235970856102,20.42933142857143,0.3572601557271382,0.4065442163875242
AGR3,-0.0766096677041368,61.60385027322405,65.01807428571428,0.35725523107716506,0.4065442163875242
EMC7,-0.041200343146835294,109.77853989071038,112.98774857142858,0.35780003995168075,0.40713049583577
FGFR3,1.2953223249287693,21.34709344262295,8.105214285714286,0.3580701709008728,0.40740977100155856
PRXL2A,0.10769512776739454,52.9850072859745,49.10184285714286,0.35834045185913777,0.40768917831680956
ADAMTS13,-0.014451577835994378,4.953311293260474,5.0132457142857145,0.35915199920235374,0.40855613892576925
MAPKAPK5,0.11740465583251636,8.334099635701277,7.604588571428571,0.3591519919647407,0.40855613892576925
SURF4,0.10480627573386947,237.39537322404374,220.69096285714286,0.3594228004366872,0.4088360012137662
SFRP2,0.42298420403810066,63.645653187613846,47.217911428571426,0.36050715732273364,0.41004116384077627
TNC,-0.5752927529652716,67.99936010928963,101.80765142857143,0.36105017003383977,0.410602171725256
TICAM1,0.14619508355566602,35.542125318761386,32.020579999999995,0.36105017003383977,0.410602171725256
SCGB3A1,2.46440436345729,318.71082204007286,56.929222857142854,0.3615887199768145,0.41116355851172853
TMEM181,0.022112394596289775,35.09405500910747,34.545054285714286,0.36159365198488724,0.41116355851172853
DKK1,1.9691673370389542,31.156500182149358,7.212782857142858,0.3617994196512463,0.41136918162689606
LRRC9,-0.1304766988208083,0.1402910746812386,0.24822571428571427,0.3618737219029202,0.41142530934838245
EED,0.1501638213794525,10.446131511839708,9.31466,0.36213764648505165,0.41169700190948055
PRRT1B,0.19703078192765844,5.808506010928962,4.93936,0.3623804387099797,0.4119446343166296
LMX1A,0.4637964315444214,0.5984222222222222,0.15897714285714287,0.3625290743351305,0.4120852052074537
CACNA1B,-0.550788050459724,0.6968989071038251,1.485762857142857,0.3628979884054646,0.412476129019177
KDM1B,0.23402000740727047,14.829315664845176,12.459071428571427,0.3632271582850969,0.41270811954980063
MAGT1,0.00041446553871260505,65.49988743169398,65.48078571428572,0.36322717273991423,0.41270811954980063
ELOA,0.1316770909805305,29.644122586520947,26.971028571428572,0.36322717273991423,0.41270811954980063
FAIM,-0.20094833036812565,12.480488524590164,14.495197142857144,0.36322717273991423,0.41270811954980063
DOK2,0.14999259195816483,8.664287795992717,7.709988571428572,0.36322717273991423,0.41270811954980063
NOX4,-0.4291408435427708,2.376232422586521,3.545865714285714,0.3643187263273344,0.41386288676714106
TBCCD1,0.16894899248228512,10.548541347905282,9.272317142857144,0.3643187335518634,0.41386288676714106
TMEM187,0.20502721328752038,34.3629204007286,29.67812285714286,0.3643187480009207,0.41386288676714106
SEMA5B,0.8949309663562621,4.271258287795993,1.83474,0.3645919474305179,0.4141447224393201
RPAP3,-0.03216537432627309,17.121134244080146,17.52968857142857,0.3648652965312448,0.4144266893061946
MRPL46,-0.017584315076215162,1.2349553734061933,1.2623628571428573,0.3654122920141416,0.41496236130685554
CA13,0.1992655884413752,2.9662737704918034,2.4546000000000006,0.36541234978680404,0.41496236130685554
GNPTAB,0.24950082207034407,16.082902732240434,13.369922857142857,0.36541236422996715,0.41496236130685554
CELF4,0.448641470055179,0.768195446265938,0.29561428571428566,0.36595654308231673,0.4154984014447351
RTN3,0.1236900233858611,106.04855464480873,97.25313142857144,0.36595995098760126,0.4154984014447351
EDA,0.14993007872222042,2.711025683060109,2.344725714285714,0.36595994376751884,0.4154984014447351
XRCC5,0.16191788135940222,208.9523280510018,186.66295714285712,0.36650804225623446,0.41609205072552685
INTS12,-0.046868304697423646,8.572440072859745,8.888522857142855,0.3667822581033363,0.4163747123229094
CD84,0.40469709627749517,2.310446448087432,1.5006942857142855,0.3670566307159544,0.4166002016844443
GALNT16,0.605135120672267,8.070736976320584,4.963191428571428,0.3670566451500231,0.4166002016844443
RAD1,0.005312549598960548,12.452121857923498,12.402677142857144,0.3670566379329888,0.4166002016844443
PDC,0.08554928317931879,0.17658087431693992,0.10883999999999999,0.3671717501922678,0.4167021761485887
ITGA4,0.26699814953159096,2.733194717668488,2.1024599999999998,0.3676057451293797,0.41710865345437753
SMIM29,0.13608641503946028,47.72841912568306,43.34209714285714,0.3676057595603497,0.41710865345437753
UBE2V2,-0.008845065996760937,26.074353369763205,26.24085428571429,0.3676057523448649,0.41710865345437753
NDUFB6,0.005236178254319768,78.2610233151184,77.97387142857143,0.36815538537740267,0.4176748416969048
KDM6B,-0.1836226695829799,33.94708961748634,38.690534285714286,0.36815538537740267,0.4176748416969048
CGAS,0.24807088882482553,6.467341712204006,5.287662857142856,0.3687055008531678,0.41827018861827425
