gene,mean_pos,mean_neg,log2FC,pvalue,u_stat,FDR
NOS1,0.6974939393939394,0.6209948888888889,0.14548452278564497,0.5502863761358203,21421.0,0.7533626104233689
H1-2,300.29256161616166,271.5268346666667,0.1452230750484904,0.9261212788579624,22142.0,0.9681397923791385
HPF1,44.403431313131314,40.146813111111115,0.14504202543588424,0.11003506263234863,24559.0,0.2960100400443035
SH3KBP1,24.6541303030303,22.287406222222224,0.1449818744243696,0.0014604750423926373,26823.0,0.012207737574080162
ABCA6,0.3061585858585859,0.267374,0.1447936152551267,0.0007479316139032998,27093.0,0.007105731540854999
CA11,25.160188888888893,22.748321111111114,0.14477726694159837,0.9041910170906228,22447.5,0.9583828362657345
PIK3C2B,10.064055555555555,9.095922444444444,0.14440996215231558,0.11334412645454378,24538.0,0.3010880030087924
ZFYVE26,7.629740404040404,6.8935815555555555,0.14438848506112295,0.0922950809853985,24681.0,0.2628625238558742
MAP7D1,66.31299090909091,59.990352222222214,0.14433209348111584,0.018933313738030005,25629.0,0.08887357544116829
OR1N2,0.10836969696969695,0.08856333333333333,0.14409631573510856,0.8817668060935357,22423.0,0.9478041764764111
VAMP8,458.386706060606,414.8060613333334,0.14409516952136867,0.14100245315036145,24379.0,0.34433194376034815
SRARP,3.641407070707071,3.2860733333333334,0.1439677233097177,0.6286107866509505,21585.5,0.8050917317008188
MMP10,50.6801898989899,45.86151266666667,0.1438395099778873,0.8268887154795332,21962.0,0.9202466181913844
LMF2,107.95909898989899,97.74469488888889,0.1432550221822649,0.007471671345207742,26098.0,0.04428361013503094
SQSTM1,85.011997979798,76.9681991111111,0.14322683936461633,0.07348834729182256,24833.0,0.2275831190429594
CENPN,7.3046161616161625,6.605150444444444,0.14315524898452262,0.019291838391112752,25619.0,0.09014787355486129
NMT1,41.15203939393939,37.258073333333336,0.14304539132314562,0.009803614893659343,25966.0,0.05419317367076221
CMIP,14.656327272727271,13.26402622222222,0.1429789726933341,0.06381511497634561,24924.0,0.20766652109999345
TMSB4X,3459.1885878787866,3132.9686864444443,0.1428989758589706,0.013670363018827696,25799.0,0.06956471926588814
MCTP2,2.039519191919192,1.8378940000000001,0.14279696070704595,0.22201658515537004,24020.5,0.4550680830543323
ATP8B2,15.44998585858586,13.989145333333333,0.14232916988197886,0.026170429535198568,25453.0,0.11318256546024845
TSKS,0.6700565656565657,0.5977677777777778,0.1422174481737134,0.0013639188842763865,26849.5,0.011592999545331438
ZNF385D,0.37211212121212117,0.32779644444444445,0.14220503195341927,0.007309468095689326,26108.5,0.043529867509153046
OR12D2,0.04288282828282827,0.02947222222222222,0.1421899368452349,0.19566163738545017,23439.5,0.42168261311883354
PCK2,36.434274747474745,33.01211688888889,0.14189132172885907,0.013643679231536511,25800.0,0.06951748668880121
C1QTNF12,5.2975121212121214,4.792119333333333,0.1418349822015262,0.15349923961481424,20235.0,0.36388477240207384
ARMC7,29.357647474747484,26.604875555555555,0.14153905820866175,0.02425500243740724,25495.0,0.10690786035407539
COQ10B,30.556496969696973,27.695200222222226,0.14135707922358878,0.03649154045909787,25264.0,0.14197501860938933
MADCAM1,0.9529727272727273,0.854804,0.14119155455364732,0.0061347579552159135,26191.5,0.03810471554972336
MTFR2,9.070950505050504,8.216584222222222,0.14108015885578878,0.09468876399598793,24663.5,0.26746454930826113
GCA,16.650637373737375,15.090578222222222,0.14103920579939624,0.04867942013558982,25092.5,0.17273643013014628
PCGF5,18.92429595959596,17.15257088888889,0.14103170340912705,0.0025388931586129153,26589.0,0.019105760386170668
BCL9L,14.639508080808081,13.267266222222222,0.14098393053698552,0.2037747381116286,24091.5,0.43197556219728844
PRAMEF9,0.024332323232323233,0.012761999999999999,0.14092043749247524,0.7373427439668137,22037.5,0.8714220610918975
HASPIN,5.69851111111111,5.1603144444444435,0.14053346399389166,0.015462041818674737,25735.5,0.0765504540504906
C1D,10.779320202020203,9.770576,0.1403822310291645,0.15511878391088052,24307.0,0.366140847364753
SFN,572.4167131313131,519.5230237777778,0.13985245351627995,0.45884025139261075,23334.0,0.683675642362771
RHOJ,6.665101010101011,6.040217999999999,0.13982159791376067,0.0362415445332994,25268.0,0.14135647188871667
C6orf62,166.0013808080808,150.6593064444444,0.13981700340490116,0.034353206319771235,25299.0,0.13601184490240778
B3GALT5,3.803418181818182,3.443080666666667,0.13973371794785247,0.4721016321886362,23303.0,0.6946070699544159
SPTY2D1,14.265960606060608,12.940608000000001,0.13964332975780894,0.18571672736522105,24166.5,0.4096757157500261
STAT5B,27.87689191919192,25.29698888888889,0.13957823711122733,0.05924634815267382,24971.0,0.19766456587897618
PLS3,97.23202828282825,88.26414444444444,0.13945353402121105,0.18840610491498055,24155.0,0.4132607607607735
PRCD,0.6461565656565657,0.5774446666666666,0.13937526953207513,0.7994691535118709,21911.5,0.9062336263089953
RIPK1,11.70810808080808,10.621721555555558,0.1392412579753046,0.013670363018827696,25799.0,0.06956471926588814
RASSF9,6.218460606060606,5.637464000000001,0.1391599148741436,0.09034863410426532,24695.5,0.2596513320541945
LTBP4,48.90410404040404,44.398320222222225,0.13915170196248028,0.372436516796699,23550.0,0.6110568324170821
GP9,0.22029898989898988,0.19085222222222217,0.1391329214592622,0.007369230457371539,18662.0,0.043801803483866544
GRK2,72.24032828282827,65.59712444444445,0.13896991967280115,0.0022501722934596033,26641.0,0.017267686928813093
CPZ,0.3398191919191919,0.2994355555555555,0.13894779963228127,0.3907044331826368,23501.0,0.6266714799781804
ADAR,138.86011313131314,126.10226666666668,0.13893301149824436,0.1400600824107973,24384.0,0.34283912490312035
