gene,log2FC,mean_tumor_tpm,mean_normal_tpm,pvalue,FDR,mut_freq_pct,n_mut_samples
B4GALT1,1.6132006270897365,376.0612799635702,122.25091714285715,4.075880872971475e-09,1.4714197514722842e-08,1.3806706114398422,7
MROH6,1.612257177696026,17.667442258652095,5.105862857142858,2.443729078516192e-07,6.930830726725139e-07,3.353057199211045,17
TRIM17,1.611700907798149,9.051306010928961,2.2889114285714283,9.201571461862109e-05,0.0001856972794835487,3.155818540433925,16
LAPTM4B,1.61057499136301,664.63654571949,216.97454285714286,2.6829964902656836e-10,1.1464407173375615e-09,1.183431952662722,6
RASSF6,1.609663191904812,8.375914936247723,2.0722514285714286,2.3066746366841202e-09,8.645051830080558e-09,2.1696252465483234,11
KRT7,1.6093851788257307,246.85480928961746,80.23143714285713,4.5038410767050274e-08,1.405682370099878e-07,2.1696252465483234,11
COMP,1.6072952638451974,33.9092183970856,10.457662857142857,0.0010516225778439458,0.0018309109048559747,3.353057199211045,17
RHBDL1,1.605630514650685,8.22097777777778,2.02994,1.692084661446502e-11,8.715583123491848e-11,1.3806706114398422,7
SDS,1.6052665756256639,6.623597996357013,1.5056857142857143,2.5166792666045418e-14,2.050384460401698e-13,1.7751479289940828,9
CKMT1A,1.6042708851293175,4.409967941712204,0.7793485714285714,4.653217476155657e-11,2.228744579770141e-10,2.7613412228796843,14
LLGL2,1.6026088199343604,74.60717322404372,23.896005714285714,1.1151965963378759e-14,9.744975342363493e-14,3.5502958579881656,18
WDR62,1.6018694079435707,6.767851366120219,1.559117142857143,3.875545018420188e-17,5.749886844774844e-16,7.297830374753452,37
BLM,1.6000657219000445,4.619866120218579,0.8537800000000001,1.2769681224673807e-17,2.1519325928975328e-16,6.11439842209073,31
COL17A1,1.5995228719758152,5.755358287795993,1.2291742857142858,0.002923477206145537,0.004781553182015373,8.678500986193294,44
SLC9A2,1.5992198711364844,4.118257559198543,0.6893085714285714,1.8790753306627505e-08,6.157097280094152e-08,4.733727810650888,24
GAPDH,1.5870547878413106,3131.7963683060107,1041.7520942857143,3.014022326209025e-16,3.661659818688991e-15,1.3806706114398422,7
NRCAM,1.5865954356793854,18.821136429872492,5.599571428571427,0.0001207448618133707,0.00023928513275639518,6.508875739644971,33
SLC29A4,1.5864863326062397,21.755811475409836,6.577262857142856,4.054511709823208e-08,1.272424681149817e-07,2.7613412228796843,14
FANCI,1.5808448692196215,9.56485209471767,2.531682857142857,1.4621647571493168e-16,1.9236718057730857e-15,7.495069033530571,38
CYBA,1.5798837209507264,278.0349846994535,92.33967142857144,4.093174158622677e-14,3.1974047002347033e-13,1.183431952662722,6
ALDOA,1.5774340436445495,24.254929872495445,7.462354285714285,8.769171241687404e-09,3.0090221952029697e-08,2.9585798816568047,15
STXBP6,1.5756137283628115,27.770281056466303,8.65244,4.311274153961551e-09,1.5523221517253967e-08,2.7613412228796843,14
GALR2,1.5746613390015576,2.4388579234972676,0.15450000000000003,1.0891583132187547e-15,1.1736730144665588e-14,1.183431952662722,6
IKBKE,1.574597006997244,19.582001092896174,5.910137142857143,1.1366484150071232e-17,1.9352348349625922e-16,5.325443786982249,27
H2BC5,1.5680958445962467,97.04975737704918,32.067597142857146,7.37242169971827e-12,4.023496557435062e-11,1.7751479289940828,9
INAVA,1.5677876060079732,11.577693989071038,3.2427742857142854,4.531578160923032e-09,1.6277373502919265e-08,3.7475345167652856,19
IL1R2,1.5668778234265028,11.360984153005464,3.1723028571428573,1.2254286736810322e-06,3.169821614673827e-06,4.142011834319527,21
CENPK,1.566373212585273,6.44963242258652,1.5154142857142856,2.0267058676665663e-14,1.6827691674634733e-13,1.3806706114398422,7
THEMIS2,1.5651982952051782,23.268883424408013,7.201214285714286,1.4741579094871762e-10,6.508074012076846e-10,4.142011834319527,21
STXBP2,1.5644875009025045,37.85672058287796,12.13737142857143,9.022116739269182e-16,9.870482888890117e-15,2.9585798816568047,15
ESM1,1.5602544790766393,16.760182877959927,5.022322857142857,1.556210388573762e-10,6.846500053033217e-10,1.3806706114398422,7
GBP5,1.5601688008379528,7.645460655737707,1.9317742857142852,0.0006794454935663104,0.0012163076988777116,4.930966469428008,25
ARHGEF39,1.5587988273238098,5.173536976320583,1.0955057142857143,8.748802183146673e-19,2.08580546846176e-17,1.3806706114398422,7
TBX15,1.558495527600226,2.938221675774135,0.3370457142857143,1.640573175140748e-12,9.871097478418689e-12,3.9447731755424074,20
RTKN2,1.558069087082365,4.500805828779599,0.8681028571428572,1.8305340136345084e-16,2.332060342049221e-15,4.339250493096647,22
CENPO,1.55281645651823,7.940847358834244,2.0474342857142864,9.73098301749821e-19,2.2869223513780933e-17,1.7751479289940828,9
TCN1,1.551749402666422,10.986488524590163,3.088545714285714,0.01614933876787529,0.023596828535329604,2.9585798816568047,15
FOXN4,1.550240971629397,5.434367577413479,1.1970342857142855,0.0032214503253734433,0.005231051916142821,2.1696252465483234,11
SSC4D,1.5478243996552208,7.905101639344263,2.045771428571429,7.946989088223193e-06,1.8367827068155867e-05,1.9723865877712032,10
KLRG2,1.546909694592099,2.8063417122040075,0.3026914285714286,3.5879758492001947e-09,1.3078750676116838e-08,1.183431952662722,6
ABHD11,1.5464929906092744,124.66344553734062,42.01978,1.015142349841878e-15,1.1003822922267612e-14,1.7751479289940828,9
H2AC11,1.545491609080091,4.153948633879781,0.7656342857142858,2.910491635154456e-12,1.6801011545408754e-11,1.9723865877712032,10
H3C8,1.5414250065230755,2.5767475409836065,0.22877714285714285,3.5574243894098063e-10,1.4952964987638978e-09,1.5779092702169626,8
EGFL6,1.5397149467450042,21.22522786885246,6.644442857142857,0.00045186356685538695,0.0008290530611632756,5.128205128205128,26
DMRT3,1.5380229075271126,2.8506213114754093,0.32598857142857146,0.0005592168024935223,0.001011840185077663,1.9723865877712032,10
GMIP,1.5348329834015897,28.58577850637523,9.210622857142857,4.87624319971852e-20,1.9108850429680794e-18,5.325443786982249,27
LPAR2,1.532939081135297,42.57561366120219,14.058539999999999,2.0595308204170516e-14,1.7083026382725248e-13,3.9447731755424074,20
GRHL1,1.5318405939772806,4.765079963570128,0.9937714285714284,1.0199364548688936e-14,8.993539087347412e-14,5.522682445759369,28
GPR35,1.5318175671513206,8.42682349726776,2.260185714285714,2.548040464480329e-06,6.3043792409607795e-06,1.3806706114398422,7
ENC1,1.5305168609412707,39.46393442622951,13.006725714285713,8.148202634791147e-09,2.8146785399661714e-08,3.7475345167652856,19
IDH1,1.5290428904943276,116.59027759562841,39.74587428571429,4.2763096626165264e-12,2.4144612188175036e-11,3.353057199211045,17
GPT2,1.5289420067637671,52.604534061930785,17.575654285714286,3.81894555706633e-15,3.6823473875207664e-14,2.1696252465483234,11
KNSTRN,1.5287782066323405,22.676699453551915,7.2056514285714295,9.894082522226437e-17,1.35238254723854e-15,1.9723865877712032,10
EXOSC4,1.5263560699581271,105.23571530054645,35.88005714285714,2.3740933460996423e-18,4.920576887431143e-17,1.183431952662722,6
