gene,log2FC,FDR,mean_tumor_tpm,mut_freq_pct,km_logrank_p,apc_spearman_r,apc_spearman_p,prognostic,apc_positive,antigen,cdc1_rho,cdc1_FDR
GPX2,3.947728628183162,0.023207316920275,68.13843132969035,1.5779092702169626,0.0134043762035465,0.0438939326263819,0.3046001760570799,True,True,GPX2,0.187460598255997,0.0001112004195635
PTPN6,1.207606938032634,1.4284004720369895e-14,43.0713912568306,4.142011834319527,0.0383007136315907,0.3201554856933581,1.4986545128112082e-14,True,True,PTPN6,0.1829783052494552,0.0001711723613826
SLC6A14,1.9740245600961688,0.0001183426003768,7.30850364298725,6.11439842209073,0.0037944034230255,0.0743615225907827,0.0817211568963122,True,True,SLC6A14,0.1797183868283177,0.0002255410281041
TNFSF11,1.1953176798747922,1.9015817803470296e-11,1.5875154826958109,2.7613412228796843,0.0203123839603134,0.1379375642351328,0.0011948152498078,True,True,TNFSF11,0.1752108649505235,0.0003461809713107
CXCL3,1.2660999886308777,0.0003300004116433,10.603340619307833,1.5779092702169626,0.0292020437682271,0.1529732733386243,0.000321534418959,True,True,CXCL3,0.155133320740007,0.0018901429007406
ADAMTS14,1.0119983487213602,1.7433339134412544e-07,4.416845901639344,6.11439842209073,0.0034188539137802,0.0853078772872591,0.0457258927133616,True,True,ADAMTS14,0.1531096161889051,0.0022228382221444
COMP,1.6072952638451974,0.0018309109048559,33.9092183970856,3.353057199211045,0.0058528387789187,0.0028962477522696,0.9460190973936782,True,True,COMP,0.1451942123706773,0.0040477834190569
TMC5,1.7473893071390425,4.2186230679710564e-07,20.849794717668487,7.6923076923076925,0.032931867309888,0.1161274002945707,0.0064502053889951,True,True,TMC5,0.1427390962890681,0.0048236589806907
ADGRF1,1.1035342181296155,4.91545691741453e-06,2.57405737704918,5.325443786982249,0.0080982015023734,0.1269929642307941,0.0028746338835847,True,True,ADGRF1,0.1413015750662375,0.0053160526863897
NCCRP1,2.9705485428988965,1.394862016904159e-08,13.07398961748634,1.9723865877712032,8.87466770056315e-05,0.0115891618255208,0.7864426208099776,True,True,NCCRP1,0.1407129488224822,0.0055507369222783
BAK1,1.1656310665829617,4.896716923081272e-13,37.80746630236794,2.564102564102564,0.0059760737275305,0.183169108821855,1.570241253487491e-05,True,True,BAK1,0.1392393964776399,0.0062020648141942
SCEL,2.283268747761712,3.631365551048194e-11,4.746002185792349,6.508875739644971,0.0101483350188232,0.0877968961592208,0.0397410177712239,True,True,SCEL,0.1320790204858817,0.0101473005175396
PCSK9,2.558813144018723,2.5173612848642582e-11,9.280489253187614,3.155818540433925,0.0407957221964144,0.0708362471038386,0.0973080535882149,True,True,PCSK9,0.1226520385370298,0.0179162127247776
IL19,1.6159773032496714,2.443640260165744e-10,2.63254116575592,1.183431952662722,0.0264245256871598,0.0278612793604714,0.5147565651052576,True,True,IL19,0.1216881783296283,0.0190349690155775
GCNT3,1.3330769700849576,0.0011008088026814,8.27260218579235,2.366863905325444,0.0013383409936717,0.1005501557893909,0.0184445603882745,True,True,GCNT3,0.1204060577420184,0.0206945152448838
CEACAM1,1.01094662809576,0.0041289115168628,21.70796174863388,2.9585798816568047,0.002117966849905,0.0707224210514865,0.097848324059371,True,True,CEACAM1,0.1187233348200202,0.0228165455697357
EEF1A2,3.446834914610581,0.0002794833272183,25.265051730418943,2.7613412228796843,0.0191073612988833,0.0127135102739735,0.7662984619552282,True,True,EEF1A2,0.1159212263777009,0.0272320066462419
ACY3,1.804917160736557,9.055436822722116e-06,23.414501275045534,2.1696252465483234,0.0009590637556176,0.190152185973653,7.24880843767715e-06,True,True,ACY3,0.1150413552782824,0.0284261092930478
GALNT14,1.8907132867970229,0.0001963708719906,15.198507650273225,3.5502958579881656,0.0190903667394825,0.0143322424072812,0.7375745633379726,True,True,GALNT14,0.1143491072390451,0.0294008270181399
INAVA,1.5677876060079732,1.6277373502919265e-08,11.577693989071038,3.7475345167652856,0.0001688142447806,0.1419877392203912,0.0008492783650799,True,True,INAVA,0.1132277080949686,0.0314871034191742
USP18,1.626706354845027,2.5515174460181394e-09,19.73587358834244,2.1696252465483234,0.0257865678171239,0.1875526595378217,9.69803406554858e-06,True,True,USP18,0.1126817293432107,0.0323983556786114
KCNS1,1.0003987503871408,1.149930657140572e-09,1.323756466302368,2.1696252465483234,0.0150439836086417,0.0941359450497154,0.0274156636559919,True,True,KCNS1,0.1126738536295894,0.0323983556786114
SELENOI,1.144633743251073,1.0603684247639865e-11,17.714636429872495,2.366863905325444,0.031770945674007,0.0489664634069508,0.2520463787335887,True,True,SELENOI,0.1076789573552739,0.0419220953537257
