gene,mut_freq_pct,n_mut_samples
MORC1,9.861932938856016,50
GNPTAB,9.861932938856016,50
RIMS1,9.861932938856016,50
ZC3H18,9.861932938856016,50
CIC,9.861932938856016,50
CTNND1,9.861932938856016,50
TNRC6B,9.861932938856016,50
PCDH11X,9.861932938856016,50
LPA,9.861932938856016,50
LAMB4,9.861932938856016,50
GRIN2B,9.861932938856016,50
CAMTA1,9.861932938856016,50
ZMYM4,9.861932938856016,50
HEATR5B,9.861932938856016,50
ANKRD12,9.861932938856016,50
KAT6A,9.861932938856016,50
TOGARAM1,9.664694280078894,49
ZNF407,9.664694280078894,49
HCN1,9.664694280078894,49
TLE1,9.664694280078894,49
COL5A2,9.664694280078894,49
UHRF1BP1L,9.664694280078894,49
SORCS1,9.664694280078894,49
ARHGEF12,9.664694280078894,49
TBC1D8B,9.664694280078894,49
PCDHB12,9.664694280078894,49
PCDHGA3,9.664694280078894,49
NUMA1,9.664694280078894,49
NCAM2,9.664694280078894,49
MYH8,9.664694280078894,49
EPHB1,9.664694280078894,49
GON4L,9.664694280078894,49
ABCB4,9.664694280078894,49
TPTE,9.664694280078894,49
ERBB3,9.664694280078894,49
PCNX2,9.664694280078894,49
PRTG,9.664694280078894,49
CEP128,9.664694280078894,49
ARFGEF2,9.664694280078894,49
ZNF518A,9.664694280078894,49
INTS6L,9.664694280078894,49
CNTLN,9.664694280078894,49
FASN,9.664694280078894,49
SPTB,9.664694280078894,49
MYPN,9.664694280078894,49
FMR1,9.664694280078894,49
TNC,9.664694280078894,49
CEP152,9.664694280078894,49
ZC3H12B,9.664694280078894,49
NRAP,9.664694280078894,49
MYO7B,9.664694280078894,49
GUCY2F,9.664694280078894,49
FAM47B,9.664694280078894,49
SYCP1,9.664694280078894,49
VWA8,9.664694280078894,49
PLXNB3,9.664694280078894,49
GSE1,9.664694280078894,49
PRDM9,9.467455621301776,48
TEP1,9.467455621301776,48
THBS2,9.467455621301776,48
RPS6KA6,9.467455621301776,48
RAD51AP2,9.467455621301776,48
NPAP1,9.467455621301776,48
MYT1L,9.467455621301776,48
TANC2,9.467455621301776,48
FHOD3,9.467455621301776,48
CNTN4,9.467455621301776,48
SBF2,9.467455621301776,48
CDK5RAP2,9.467455621301776,48
ZFYVE16,9.467455621301776,48
ABCB5,9.467455621301776,48
TRPM8,9.467455621301776,48
CACNA1G,9.467455621301776,48
MYOF,9.467455621301776,48
PCDHA8,9.467455621301776,48
MRC1,9.467455621301776,48
DISP1,9.467455621301776,48
SPTBN4,9.467455621301776,48
SLC9C2,9.467455621301776,48
MICAL3,9.467455621301776,48
COL11A2,9.467455621301776,48
LAMA5,9.467455621301776,48
TASOR2,9.467455621301776,48
CPAMD8,9.467455621301776,48
MYO5A,9.467455621301776,48
RAB3GAP2,9.467455621301776,48
ABCA6,9.467455621301776,48
ABCA5,9.467455621301776,48
SMARCA2,9.467455621301776,48
DDX60,9.467455621301776,48
SAGE1,9.467455621301776,48
SLC12A1,9.467455621301776,48
N4BP2,9.467455621301776,48
PIK3CG,9.467455621301776,48
ADAMTS16,9.467455621301776,48
ZMYND8,9.467455621301776,48
TEX10,9.467455621301776,48
ATP10B,9.467455621301776,48
OCRL,9.467455621301776,48
GCN1,9.467455621301776,48
ZEB2,9.467455621301776,48
CDH11,9.467455621301776,48
NOS1,9.467455621301776,48
PLEKHA6,9.467455621301776,48
FILIP1,9.467455621301776,48
TACC2,9.467455621301776,48
VWA3B,9.467455621301776,48
GCC2,9.467455621301776,48
KIAA1549,9.270216962524655,47
SLITRK2,9.270216962524655,47
MPDZ,9.270216962524655,47
PAPPA,9.270216962524655,47
SCAPER,9.270216962524655,47
NIN,9.270216962524655,47
NOTCH1,9.270216962524655,47
NUP205,9.270216962524655,47
TLN2,9.270216962524655,47
PHIP,9.270216962524655,47
NUP214,9.270216962524655,47
PTPRF,9.270216962524655,47
DCDC1,9.270216962524655,47
FAM47A,9.270216962524655,47
ATP8B4,9.270216962524655,47
RB1CC1,9.270216962524655,47
COL14A1,9.270216962524655,47
PHF20L1,9.270216962524655,47
POLR2A,9.270216962524655,47
ERBB4,9.270216962524655,47
DIP2C,9.270216962524655,47
RAI1,9.270216962524655,47
TDRD1,9.270216962524655,47
MYH7B,9.270216962524655,47
ASXL1,9.270216962524655,47
STAG2,9.270216962524655,47
CARD6,9.270216962524655,47
WASHC2C,9.270216962524655,47
RALGAPA2,9.270216962524655,47
ABCA10,9.270216962524655,47
MED23,9.270216962524655,47
ATP7A,9.270216962524655,47
ADD3,9.270216962524655,47
BTBD7,9.270216962524655,47
AKAP11,9.270216962524655,47
PRG4,9.270216962524655,47
ROCK2,9.270216962524655,47
SMCHD1,9.270216962524655,47
MED14,9.270216962524655,47
